gate_id,gate_name,domain,priority,block_release,control_index,control,required_evidence
G08,"Identity, tenancy, authorization, and data protection",backend_security,P0,True,3,Model output never grants authority.,authorization-matrix.json; tenant-isolation-tests.json; asvs-verification.json; redaction-tests.json
G08,"Identity, tenancy, authorization, and data protection",backend_security,P0,True,4,Admin/destructive paths have step-up controls and audit.,authorization-matrix.json; tenant-isolation-tests.json; asvs-verification.json; redaction-tests.json
G08,"Identity, tenancy, authorization, and data protection",backend_security,P0,True,5,"Secrets/PII never appear in logs, traces, screenshots, errors or receipts.",authorization-matrix.json; tenant-isolation-tests.json; asvs-verification.json; redaction-tests.json
G08,"Identity, tenancy, authorization, and data protection",backend_security,P0,True,6,ASVS L2 baseline and targeted L3 verification.,authorization-matrix.json; tenant-isolation-tests.json; asvs-verification.json; redaction-tests.json
G09,"Persistence, migrations, backup, and recovery",backend,P0,True,1,Durable governed storage is mandatory for production readiness.,migration-test.json; restore-exercise.json; concurrency-tests.json; negative-mutation-test.json
G09,"Persistence, migrations, backup, and recovery",backend,P0,True,2,"Forward, rollback/roll-forward, compatibility and dirty-upgrade tests.",migration-test.json; restore-exercise.json; concurrency-tests.json; negative-mutation-test.json
G09,"Persistence, migrations, backup, and recovery",backend,P0,True,3,Backup/restore exercise with measured RPO/RTO draft.,migration-test.json; restore-exercise.json; concurrency-tests.json; negative-mutation-test.json
G09,"Persistence, migrations, backup, and recovery",backend,P0,True,4,"Transactions, constraints, idempotency and concurrent writers tested.",migration-test.json; restore-exercise.json; concurrency-tests.json; negative-mutation-test.json
G09,"Persistence, migrations, backup, and recovery",backend,P0,True,5,Serving identity cannot edit/delete append-only evidence.,migration-test.json; restore-exercise.json; concurrency-tests.json; negative-mutation-test.json
G10,"Reliability, capacity, degradation, and failure testing",reliability,P0,True,1,Distinct startup/liveness/readiness.,probe-contract.json; load-test.json; soak-test.json; chaos-results.json; capacity-plan.json
G10,"Reliability, capacity, degradation, and failure testing",reliability,P0,True,2,Graceful shutdown/restart with no corrupt or duplicate operation.,probe-contract.json; load-test.json; soak-test.json; chaos-results.json; capacity-plan.json
G10,"Reliability, capacity, degradation, and failure testing",reliability,P0,True,3,"Forecast and 2x load, burst, stress and soak tests.",probe-contract.json; load-test.json; soak-test.json; chaos-results.json; capacity-plan.json
G10,"Reliability, capacity, degradation, and failure testing",reliability,P0,True,4,"Dependency outage, timeout, malformed/slow response, quota, disk-full and clock-skew tests.",probe-contract.json; load-test.json; soak-test.json; chaos-results.json; capacity-plan.json
G10,"Reliability, capacity, degradation, and failure testing",reliability,P0,True,5,Declared degraded modes and loop/cost/capacity guardrails.,probe-contract.json; load-test.json; soak-test.json; chaos-results.json; capacity-plan.json
G11,"Observability, SLOs, error budgets, and alerting",operations,P0,True,1,"OTel traces, metrics and logs with semantic conventions.",otel-conformance.json; slo.yaml; error-budget.json; alert-routing.json; trace-witness.json
G11,"Observability, SLOs, error budgets, and alerting",operations,P0,True,2,Trace browser -> API -> policy -> model -> tool -> approval -> receipt -> outcome.,otel-conformance.json; slo.yaml; error-budget.json; alert-routing.json; trace-witness.json
G11,"Observability, SLOs, error budgets, and alerting",operations,P0,True,3,SLOs approved only after baseline; no invented uptime.,otel-conformance.json; slo.yaml; error-budget.json; alert-routing.json; trace-witness.json
G11,"Observability, SLOs, error budgets, and alerting",operations,P0,True,4,Error-budget policy freezes nonessential change when exhausted.,otel-conformance.json; slo.yaml; error-budget.json; alert-routing.json; trace-witness.json
G11,"Observability, SLOs, error budgets, and alerting",operations,P0,True,5,"Every alert ends in page, ticket or logging and has an owner.",otel-conformance.json; slo.yaml; error-budget.json; alert-routing.json; trace-witness.json
G12,"Debugging, incident response, and learning",operations,P0,True,1,"Uniform debug bundle with IDs, exact revisions, sanitized logs, browser trace and replay fixture.",debug-bundle.json; incident-timeline.json; regression-test.json; postmortem.md; corrective-actions.json
G12,"Debugging, incident response, and learning",operations,P0,True,2,Contain/rollback before speculative repair.,debug-bundle.json; incident-timeline.json; regression-test.json; postmortem.md; corrective-actions.json
G12,"Debugging, incident response, and learning",operations,P0,True,3,Failing reproduction/regression test precedes fix where feasible.,debug-bundle.json; incident-timeline.json; regression-test.json; postmortem.md; corrective-actions.json
G12,"Debugging, incident response, and learning",operations,P0,True,4,Bisect/dependency-diff evidence.,debug-bundle.json; incident-timeline.json; regression-test.json; postmortem.md; corrective-actions.json
G12,"Debugging, incident response, and learning",operations,P0,True,5,Blameless postmortem and permanent control improvement.,debug-bundle.json; incident-timeline.json; regression-test.json; postmortem.md; corrective-actions.json
G13,Secure software and supply chain,security,P0,True,1,NIST SSDF outcome map and T0 threat model.,ssdf-map.json; threat-model.md; security-results.sarif; sbom.json; attestation-verification.json
G13,Secure software and supply chain,security,P0,True,2,"Secret scan/push protection, CodeQL/SAST, dependency review, vuln/license policy.",ssdf-map.json; threat-model.md; security-results.sarif; sbom.json; attestation-verification.json
G13,Secure software and supply chain,security,P0,True,3,Pinned actions/bases and least-privilege workflow permissions.,ssdf-map.json; threat-model.md; security-results.sarif; sbom.json; attestation-verification.json
G13,Secure software and supply chain,security,P0,True,4,SBOM and ML-BOM where applicable.,ssdf-map.json; threat-model.md; security-results.sarif; sbom.json; attestation-verification.json
G13,Secure software and supply chain,security,P0,True,5,Generate and verify artifact attestation; immutable release and offline bundle.,ssdf-map.json; threat-model.md; security-results.sarif; sbom.json; attestation-verification.json
G14,"Release rings, canary, rollback, and post-deploy verification",release,P0,True,1,Build once and promote exact artifact.,release-candidate.json; ring-results.json; canary-analysis.json; rollback-test.json; runtime-readback.json
G14,"Release rings, canary, rollback, and post-deploy verification",release,P0,True,2,CI -> preview -> staging -> canary -> production.,release-candidate.json; ring-results.json; canary-analysis.json; rollback-test.json; runtime-readback.json
G14,"Release rings, canary, rollback, and post-deploy verification",release,P0,True,3,Merge does not automatically mean global release.,release-candidate.json; ring-results.json; canary-analysis.json; rollback-test.json; runtime-readback.json
G14,"Release rings, canary, rollback, and post-deploy verification",release,P0,True,4,Canary success/abort thresholds and automatic rollback/traffic removal.,release-candidate.json; ring-results.json; canary-analysis.json; rollback-test.json; runtime-readback.json
G14,"Release rings, canary, rollback, and post-deploy verification",release,P0,True,5,"Runtime readback binds artifact, policy, model/data and receipt.",release-candidate.json; ring-results.json; canary-analysis.json; rollback-test.json; runtime-readback.json
G15,"Hugging Face model, data, kernel, and Space controls",ai_hub,P0,True,1,No public pickle/joblib; no mutable trust_remote_code.,hf-inventory.json; artifact-passports; unsafe-serialization.json; eval-scorecards; space-readback.json
G15,"Hugging Face model, data, kernel, and Space controls",ai_hub,P0,True,2,Weights/adapters/quantizations/kernels/recipes/aliases/roadmaps/history visibly distinct.,hf-inventory.json; artifact-passports; unsafe-serialization.json; eval-scorecards; space-readback.json
G15,"Hugging Face model, data, kernel, and Space controls",ai_hub,P0,True,3,"Cards include source, rights/license, intended use, limits, training/eval revisions and N.",hf-inventory.json; artifact-passports; unsafe-serialization.json; eval-scorecards; space-readback.json
G15,"Hugging Face model, data, kernel, and Space controls",ai_hub,P0,True,4,Spaces bind exact source/deployment/runtime/readiness/accessibility/security.,hf-inventory.json; artifact-passports; unsafe-serialization.json; eval-scorecards; space-readback.json
G15,"Hugging Face model, data, kernel, and Space controls",ai_hub,P0,True,5,"One writer, exact-parent Hub PRs, immutable readback, red-team and drift gates.",hf-inventory.json; artifact-passports; unsafe-serialization.json; eval-scorecards; space-readback.json
G16,"Investor, customer, and contributor diligence",investor,P0,True,1,One product hierarchy and primary vertical.,diligence-index.json; investor-demo-receipts; clean-machine-proof.json; risk-register.json; claims-register.json
G16,"Investor, customer, and contributor diligence",investor,P0,True,2,Three deterministic positive/negative demonstrations.,diligence-index.json; investor-demo-receipts; clean-machine-proof.json; risk-register.json; claims-register.json
G16,"Investor, customer, and contributor diligence",investor,P0,True,3,"Architecture, data flow, threat model, SLO draft, release, incident, support and compatibility.",diligence-index.json; investor-demo-receipts; clean-machine-proof.json; risk-register.json; claims-register.json
G16,"Investor, customer, and contributor diligence",investor,P0,True,4,Current risk/claim/gap/dependency/license/data-rights registers.,diligence-index.json; investor-demo-receipts; clean-machine-proof.json; risk-register.json; claims-register.json
G16,"Investor, customer, and contributor diligence",investor,P0,True,5,Clean-machine governed decision and offline verification.,diligence-index.json; investor-demo-receipts; clean-machine-proof.json; risk-register.json; claims-register.json
