repository,visibility,archived,size_kb,production_tier,production_policy,target_class,target,action,priority,source_url
szl-holdings/szl-estate-os,private,False,387,T2,"classification, security, integrity, migration/archive, and source-binding gate",PRIVATE_INTERNAL,"Private operations, diligence, defensive, or incubator plane",KEEP_PRIVATE_AND_CLASSIFY,P0,https://github.com/szl-holdings/szl-estate-os
szl-holdings/sda,public,False,280,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one research package and one bounded demo,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/sda
szl-holdings/szl-kernels,public,False,645,T1,"blocking build, contract, security, provenance, and release gate",MAINTAINED_TECHNICAL,"One kernel family, correctness, benchmark, energy, and release authority",KEEP_NOT_PINNED,P0,https://github.com/szl-holdings/szl-kernels
szl-holdings/szl-defensive-control-plane,private,False,80,T2,"classification, security, integrity, migration/archive, and source-binding gate",PRIVATE_INTERNAL,"Private operations, diligence, defensive, or incubator plane",KEEP_PRIVATE_AND_CLASSIFY,P1,https://github.com/szl-holdings/szl-defensive-control-plane
szl-holdings/szl-receipt-attn,public,False,45,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-kernels,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-receipt-attn
szl-holdings/szl-maskmod,public,False,15,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-kernels,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-maskmod
szl-holdings/szl-block-kv,public,False,16,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-kernels,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-block-kv
szl-holdings/szl-serve,public,False,45,T2,"classification, security, integrity, migration/archive, and source-binding gate",REVIEW,"package/module, research archive, or private incubator",REVIEW_SCOPE,P2,https://github.com/szl-holdings/szl-serve
szl-holdings/szl-govsign,public,False,34,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-govsign
szl-holdings/szl-blocked,public,False,65,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-blocked
szl-holdings/szl-provctl,public,False,43,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-provctl
szl-holdings/szl-invariants,public,False,49,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-invariants
szl-holdings/szl-ouroboros,public,False,33,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-kernels,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-ouroboros
szl-holdings/szl-formulas,public,False,47,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-formulas
szl-holdings/YARQA-ATTN,public,False,26,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one research package and one bounded demo,MIGRATE_MIRROR_ARCHIVE,P2,https://github.com/szl-holdings/YARQA-ATTN
szl-holdings/szl-nemo,public,False,0,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-forge models/evals/quantization packages,MIGRATE_MIRROR_ARCHIVE,P0,https://github.com/szl-holdings/szl-nemo
szl-holdings/szl-khipu,public,False,0,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-forge models/evals/quantization packages,MIGRATE_MIRROR_ARCHIVE,P0,https://github.com/szl-holdings/szl-khipu
